Code,Rate
AED,3.67275
AFN,47.430302
ALL,101.460382
AMD,377.981103
ANG,1.791
AOA,90.188387
ARS,3.841422
AUD,1.157094
AWG,1.79025
AZN,0.8029
BAM,1.434051
BBD,2
BDT,69.002727
BGN,1.428552
BHD,0.3765
BIF,1133.786014
BMD,1
BND,1.417606
BOB,7.015193
BRL,1.882441
BSD,1
BTN,46.687979
BWP,6.877599
BYR,2892.980067
BZD,1.9875
CAD,1.073876
CDF,899.691608
CHF,1.072567
CLP,541.595302
CNY,6.828557
COP,1988.586864
CRC,553.320842
CVE,80.536119
CZK,19.111762
DJF,177.721
DKK,5.439548
DOP,36.287698
DZD,72.991455
EEK,11.474772
EGP,5.471935
ETB,10.811328
EUR,0.730554
FJD,1.974822
FKP,0.638394
GBP,0.638394
GEL,1.718614
GHS,1.433486
GIP,0.637828
GMD,26.300871
GNF,4997.668045
GTQ,8.251266
GYD,206.213729
HKD,7.770857
HNL,18.9225
HRK,5.363439
HTG,40.251382
HUF,200.302657
IDR,9442.063126
IEP,0.686561
ILS,3.742823
INR,46.772027
IQD,1166.239771
IRR,9901.835001
ISK,128.448427
JMD,89.168176
JOD,0.708625
JPY,89.344757
KES,76.752009
KGS,44.443002
KHR,4152.153619
KMF,359.336791
KPW,143.079817
KRW,1165.505721
KWD,0.288085
KZT,147.83325
LAK,8477.574246
LBP,1505.551552
LKR,114.720335
LRD,70.004739
LSL,7.615737
LTL,2.521949
LVL,0.513333
LYD,1.254382
MAD,8.189904
MDL,12.825012
MGA,2125.003645
MKD,44.820977
MMK,6.51
MNT,1452.596888
MOP,8.008399
MRO,259.633865
MUR,30.301024
MVR,12.795
MWK,148.254972
MXN,13.192085
MYR,3.448257
MZN,31.054431
NAD,7.550487
NGN,151.535256
NIO,19.348095
NOK,5.99106
NPR,72.32506
NZD,1.450532
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.690168
PHP,46.584138
PKR,84.828802
PLN,2.985538
PYG,4682.505394
QAR,3.64
RON,3.035121
RSD,71.713423
RUB,30.591093
RWF,573.250467
SAR,3.750125
SBD,7.740005
SCR,11.298167
SDG,2.231358
SEK,7.460051
SGD,1.421984
SHP,0.638394
SLL,3919.973242
SOS,1495.005975
SRD,2.714954
STD,16692.167154
SVC,8.74906
SYP,45.850077
SZL,7.574336
THB,33.180019
TJS,4.367006
TND,1.376907
TOP,1.951318
TRY,1.524276
TTD,6.31525
TWD,32.1733
TZS,1350.500124
UAH,8.032355
UGX,1977.752542
USD,1
UYU,19.550014
UZS,1526.886276
VEF,4.3
VND,18470.035863
VUV,99.552584
WST,2.562508
XAF,492.607744
XCD,2.641659
XDR,0.648784
XOF,477.807739
XPF,87.167845
YER,204.750292
ZAR,7.699858
ZMK,4653.20565
ZWD,15180.700541
